PMID,Title,Authors,Journal,Year,Month,Day
34894427,The comprehensive analysis based study of perfluorinated compounds-Environmental explanation of bladder cancer progression.,"Ye S,Liu Q,Huang K,Jiang X,Zhang X",Ecotoxicology and environmental safety,2022,1,1
34894159,Proteomic analysis of serum in workers exposed to diesel engine exhaust.,"Rahman ML,Bassig BA,Dai Y,Hu W,Wong JYY,Blechter B,Hosgood HD,Ren D,Duan H,Niu Y,Xu J,Fu W,Meliefste K,Zhou B,Yang J,Ye M,Jia X,Meng T,Bin P,Silverman DT,Vermeulen R,Rothman N,Zheng Y,Lan Q",Environmental and molecular mutagenesis,2022,1,
34893084,Epigenetics in neurodegenerative disorders induced by pesticides.,"Yu G,Su Q,Chen Y,Wu L,Wu S,Li H",Genes and environment : the official journal of the Japanese Environmental Mutagen Society,2021,12,10
34889789,Relation between molar-incisor hypomineralization (MIH) occurrence and war pollutants in bombarded regions: Epidemiological pilot study in Lebanon.,"Elzein R,Chouery E,Abdel-Sater F,Bacho R,Ayoub F",Nigerian journal of clinical practice,2021,12,
34888281,Global Burden of Respiratory Diseases Attributable to Ambient Particulate Matter Pollution: Findings From the Global Burden of Disease Study 2019.,"Wu Y,Song P,Lin S,Peng L,Li Y,Deng Y,Deng X,Lou W,Yang S,Zheng Y,Xiang D,Hu J,Zhu Y,Wang M,Zhai Z,Zhang D,Dai Z,Gao J",Frontiers in public health,2021,,
34887500,The deleterious effects induced by an acute exposure of human skin to common air pollutants are prevented by extracts of Deschampsia antarctica.,"Fernández-Martos S,Calvo-Sánchez MI,Lobo-Aldezabal A,Sánchez-Adrada AI,Moreno C,Vitale M,Espada J",Scientific reports,2021,12,9
34886889,Genome-wide methylation and expression analyses reveal the epigenetic landscape of immune-related diseases for tobacco smoking.,"Mao Y,Huang P,Wang Y,Wang M,Li MD,Yang Z",Clinical epigenetics,2021,12,9
34886641,[Effects of <i>K-ras</i> gene silence on the expression of oncogenes in HBE cells treated with PM(2.5)].,"Li RB,Pu JN,Li BR,Cai Y,Zhang ZH,Xu XY",Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases,2021,11,20
34886275,Per- and Polyfluoroalkyl Substances (PFAS) in Integrated Crop-Livestock Systems: Environmental Exposure and Human Health Risks.,"Jha G,Kankarla V,McLennon E,Pal S,Sihi D,Dari B,Diaz D,Nocco M",International journal of environmental research and public health,2021,11,28
34886127,Ambient Cumulative PM2.5 Exposure and the Risk of Lung Cancer Incidence and Mortality: A Retrospective Cohort Study.,"Huang HL,Chuang YH,Lin TH,Lin C,Chen YH,Hung JY,Chan TC",International journal of environmental research and public health,2021,11,25
34886097,SH-29 and SK-119 Attenuates Air-Pollution Induced Damage by Activating Nrf2 in HaCaT Cells.,"Kahremany S,Hofmann L,Eretz-Kdosha N,Silberstein E,Gruzman A,Cohen G",International journal of environmental research and public health,2021,11,24
34885941,Risk Assessment of Passive Smoking Based on Analysis of Hair Nicotine and Cotinine as Exposure Biomarkers by In-Tube Solid-Phase Microextraction Coupled On-Line to LC-MS/MS.,"Kataoka H,Kaji S,Moai M","Molecules (Basel, Switzerland)",2021,12,3
34885717,Tomato and Olive Bioactive Compounds: A Natural Shield against the Cellular Effects Induced by β-Hexachlorocyclohexane-Activated Signaling Pathways.,"Rubini E,Minacori M,Paglia G,Macone A,Chichiarelli S,Altieri F,Eufemi M","Molecules (Basel, Switzerland)",2021,11,25
34884446,Particulate Matter (PM<sub>10</sub>) Promotes Cell Invasion through Epithelial-Mesenchymal Transition (EMT) by TGF-β Activation in A549 Lung Cells.,"García-Cuellar CM,Santibáñez-Andrade M,Chirino YI,Quintana-Belmares R,Morales-Bárcenas R,Quezada-Maldonado EM,Sánchez-Pérez Y",International journal of molecular sciences,2021,11,23
34883183,Air-polluted environmental heavy metal exposure increase lung cancer incidence and mortality: A population-based longitudinal cohort study.,"Lee NW,Wang HY,Du CL,Yuan TH,Chen CY,Yu CJ,Chan CC",The Science of the total environment,2022,3,1
34880864,Cancer <i>Evo-Dev</i>: A Theory of Inflammation-Induced Oncogenesis.,"Liu W,Deng Y,Li Z,Chen Y,Zhu X,Tan X,Cao G",Frontiers in immunology,2021,,
34879549,Chlorpyrifos triggers epithelioma papulosum cyprini cell pyroptosis via miR-124-3p/CAPN1 axis.,"Miao Z,Miao Z,Teng X,Xu S",Journal of hazardous materials,2022,2,15
34876863,Trends of Esophageal Cancer Incidence and Mortality and Its Influencing Factors in China.,"Li B,Liu Y,Peng J,Sun C,Rang W",Risk management and healthcare policy,2021,,
34876601,Counterfactual time series analysis of short-term change in air pollution following the COVID-19 state of emergency in the United States.,"Dey T,Tyagi P,Sabath MB,Kamareddine L,Henneman L,Braun D,Dominici F",Scientific reports,2021,12,7
34875483,Combination of CTLA-4 blockade with MUC1 mRNA nanovaccine induces enhanced anti-tumor CTL activity by modulating tumor microenvironment of triple negative breast cancer.,"Lin X,Chen H,Xie Y,Zhou X,Wang Y,Zhou J,Long S,Hu Z,Zhang S,Qiu W,Zeng Z,Liu L",Translational oncology,2022,1,
34875454,"Emission, dispersion, and potential risk of volatile organic and odorous compounds in the exhaust gas from two sludge thermal drying processes.","Xue S,Ding W,Li L,Ma J,Chai F,Liu J","Waste management (New York, N.Y.)",2022,2,1
34871688,"Heavy metals contamination, potential pathways and risks along the Indus Drainage System of Pakistan.","Khan K,Younas M,Sharif HMA,Wang C,Yaseen M,Cao X,Zhou Y,Ibrahim SM,Yvette B,Lu Y",The Science of the total environment,2022,2,25
34871645,Pollution characteristics and risk assessment of air multi-pollutants from typical e-waste dismantling activities.,"Wang H,Hao R,Nie L,Zhang X,Zhang Y","Environmental pollution (Barking, Essex : 1987)",2022,2,1
34870900,A comparative study of data-dependent acquisition and data-independent acquisition in proteomics analysis of clinical lung cancer tissues constrained by blood contamination.,"Su T,Zhong Y,Zeng W,Zhang Y,Wang S,Cheng J,Yang H,Wei Y,Gong M",Proteomics. Clinical applications,2022,5,
34863748,Hematopoietic stem cell and immunotoxicity in zebrafish embryos induced by exposure to Metalaxyl-M.,"Zeng S,Peng Y,Ma J,Ge Y,Huang Y,Xie S,Yuan W,Lu C,Zhang H,Luo Q,Liao X,Lu H",The Science of the total environment,2022,2,25
34863123,Relationship between chronic exposure to ambient air pollution and mental health in Korean adult cancer survivors and the general population.,"Kim HJ,Min JY,Seo YS,Min KB",BMC cancer,2021,12,4
34861291,The role of mouse and human peroxisome proliferator-activated receptor-α in modulating the hepatic effects of perfluorooctane sulfonate in mice.,"Su S,Billy LJ,Chang S,Gonzalez FJ,Patterson AD,Peters JM",Toxicology,2022,1,15
34858848,Integrative Analysis of Epigenome and Transcriptome Data Reveals Aberrantly Methylated Promoters and Enhancers in Hepatocellular Carcinoma.,"Huang P,Xu M,Han H,Zhao X,Li MD,Yang Z",Frontiers in oncology,2021,,
34858801,Multiomics Landscape Uncovers the Molecular Mechanism of the Malignant Evolution of Lung Adenocarcinoma Cells to Chronic Low Dose Cadmium Exposure.,"Dai SD,Wang S,Qin YN,Zhu JC",Frontiers in oncology,2021,,
34857768,Valuing burden of premature mortality attributable to air pollution in major million-plus non-attainment cities of India.,"Nair M,Bherwani H,Mirza S,Anjum S,Kumar R",Scientific reports,2021,12,2
34856342,Influence of cellular redox environment on aryl hydrocarbon receptor ligands induced melanogenesis.,"Ghaffarian-Bahraman A,Arabnezhad MR,Keshavarzi M,Davani-Davari D,Jamshidzadeh A,Mohammadi-Bardbori A",Toxicology in vitro : an international journal published in association with BIBRA,2022,3,
34855467,Long-Term Exposure to Transportation Noise and Risk for Type 2 Diabetes in a Nationwide Cohort Study from Denmark.,"Thacher JD,Poulsen AH,Hvidtfeldt UA,Raaschou-Nielsen O,Brandt J,Geels C,Khan J,Münzel T,Sørensen M",Environmental health perspectives,2021,12,
34854426,Sun exposure as a strategy for acquiring vitamin D in developing countries of tropical region: Challenges & way forward.,"Augustine LF,Nair KM,Kulkarni B",The Indian journal of medical research,2021,3,
34853387,Outdoor PM<sub>2.5</sub> concentration and rate of change in COVID-19 infection in provincial capital cities in China.,"Han Y,Lam JCK,Li VOK,Crowcroft J,Fu J,Downey J,Gozes I,Zhang Q,Wang S,Gilani Z",Scientific reports,2021,12,1
34851608,Precise Chemodynamic Therapy of Cancer by Trifunctional Bacterium-Based Nanozymes.,"Zhang W,Liu J,Li X,Zheng Y,Chen L,Wang D,Foda MF,Ma Z,Zhao Y,Han H",ACS nano,2021,12,28
34848229,Profiling and assessing soil-air exchange of polycyclic aromatic hydrocarbons (PAHs) in playground dust and soil using ex situ equilibrium passive sampling.,"Pham DT,Tarafdar A,Kim PG,Kwon JH",Chemosphere,2022,3,
34848068,Lipidomic biomarkers: Potential mediators of associations between urinary bisphenol A exposure and colorectal cancer.,"Hong X,Wang G,Liu X,Wu M,Zhang X,Hua X,Jiang P,Wang S,Tang S,Shi X,Huang Y,Shen T",Journal of hazardous materials,2022,4,5
34846674,"Potential Health Risks Associated with the Heavy Metal Content in Commonly Consumed Food from Prakasam District of Andhra Pradesh, India.","Khandare AL,Validandi V,Jamalpur RP,Dheeravath S,Kurella S,Chauhan A,Boiroju NK,Thingnganing L",Biological trace element research,2022,7,
34845358,Short- and medium-term impacts of strict anti-contagion policies on non-COVID-19 mortality in China.,"Qi J,Zhang D,Zhang X,Takana T,Pan Y,Yin P,Liu J,Liu S,Gao GF,He G,Zhou M",Nature human behaviour,2022,1,
34845239,"Exposure to airborne cadmium and breast cancer stage, grade and histology at diagnosis: findings from the E3N cohort study.","Amadou A,Praud D,Coudon T,Danjou AMN,Faure E,Deygas F,Grassot L,Leffondré K,Severi G,Salizzoni P,Mancini FR,Fervers B",Scientific reports,2021,11,29
34844315,Environmental level of bisphenol F induced reproductive toxicity toward zebrafish.,"Mu X,Qi S,Liu J,Wang H,Yuan L,Qian L,Li T,Huang Y,Wang C,Guo Y,Li Y",The Science of the total environment,2022,2,1
34843762,Tumorigenic activity of alternative per- and polyfluoroalkyl substances (PFAS): Mechanistic in vitro studies.,"Pierozan P,Cattani D,Karlsson O",The Science of the total environment,2022,2,20
34840968,Combining Network Pharmacology with Molecular Docking for Mechanistic Research on Thyroid Dysfunction Caused by Polybrominated Diphenyl Ethers and Their Metabolites.,"He Q,Chen X,Liu J,Li C,Xing H,Shi Y,Tang Q",BioMed research international,2021,,
34838866,Golgi Phosphoprotein 3 Confers Radioresistance via Stabilizing EGFR in Lung Adenocarcinoma.,"Chen G,Kong P,Yang M,Hu W,Prise KM,Yu KN,Cui S,Qin F,Meng G,Almahi WA,Nie L,Han W","International journal of radiation oncology, biology, physics",2022,4,1
34838756,Association between long-term exposure to particulate matter and childhood cancer: A retrospective cohort study.,"Lee JM,Lee TH,Kim S,Song M,Bae S",Environmental research,2022,4,1
34838672,Protective effect of the association of curcumin with piperine on prostatic lesions: New perspectives on BPA-induced carcinogenesis.,"Facina CH,Campos SGP,Ruiz TFR,Góes RM,Vilamaior PSL,Taboga SR",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2021,12,
34838036,Zinc oxide nanosphere for hydrogen sulfide scavenging and ferroptosis of colorectal cancer.,"Pan X,Qi Y,Du Z,He J,Yao S,Lu W,Ding K,Zhou M",Journal of nanobiotechnology,2021,11,27
34837917,Cytogenetic Consequences of Food Industry Workers Occupationally Exposed to Cooking Oil Fumes (COFs).,"Pappuswamy M,Meyyazhagan A,Balasubramanian B,Bhotla HK,Pushparaj K,Eswaran M,Arumugam VA,Periyaswamy T,Chaudhary A,Rajesh N,Sundaram R,Dhandapani K",Asian Pacific journal of cancer prevention : APJCP,2021,11,1
34833147,"Ovarian Malignancies Frequency in the Female Population from the Bryansk Region Living in Conditions of Radioactive, Chemical and Combine Contamination (2000-2020).","Korsakov AV,Golovleva AA,Troshin VP,Lagerev DG,Pugach LI","Life (Basel, Switzerland)",2021,11,21
34831599,The 2019 Conference on Health and Active Transportation: Research Needs and Opportunities.,"Berrigan D,Dannenberg AL,Lee M,Rodgers K,Wojcik JR,Wali B,Tribby CP,Buehler R,Sallis JF,Roberts JD,Steedly A,Peng B,Eisenberg Y,Rodriguez DA",International journal of environmental research and public health,2021,11,11
34831496,"Associations between Weather, Air Quality and Moderate Extreme Cancer-Related Mortality Events in Augsburg, Southern Germany.","Olschewski P,Kaspar-Ott I,Koller S,Schenkirsch G,Trepel M,Hertig E",International journal of environmental research and public health,2021,11,9
34831248,Prenatal Air Pollution Exposure and Placental DNA Methylation Changes: Implications on Fetal Development and Future Disease Susceptibility.,"Ghazi T,Naidoo P,Naidoo RN,Chuturgoon AA",Cells,2021,11,5
34828863,Nutritional Quality of the Most Consumed Varieties of Raw and Cooked Rice in Spain Submitted to an In Vitro Digestion Model.,"Aguilera-Velázquez JR,Carbonero-Aguilar P,Martín-Carrasco I,Hinojosa MG,Moreno I,Bautista J","Foods (Basel, Switzerland)",2021,10,26
34828362,"The Methods of Digging for ""Gold"" within the Salt: Characterization of Halophilic Prokaryotes and Identification of Their Valuable Biological Products Using Sequencing and Genome Mining Tools.","Lach J,Jęcz P,Strapagiel D,Matera-Witkiewicz A,Stączek P",Genes,2021,11,1
34826953,Occurrence and exposure risk assessment of organic micropollutants in indoor dust from Malaysia.,"Yang J,Ching YC,Kadokami K",Chemosphere,2022,1,
34826933,Association between lead and cadmium co-exposure and systemic immune inflammation in residents living near a mining and smelting area in NW China.,"Zhang H,Yan J,Niu J,Wang H,Li X",Chemosphere,2022,1,
34826924,"Radon flux estimates, from both gamma radiation and geochemical data, to determine sources, migration pathways, and related health risk: The Campania region (Italy) case study.","Guarino A,Cicchella D,Lima A,Albanese S",Chemosphere,2022,1,
34826424,Hemin enhances radiosensitivity of lung cancer cells through ferroptosis.,"Almahi WA,Yu KN,Mohammed F,Kong P,Han W",Experimental cell research,2022,1,1
34822915,Comprehensive analysis based in silico study of alternative bisphenols - Environmental explanation of prostate cancer progression.,"Fang K,Li Y,Zhang Y,Liang S,Li S,Liu D",Toxicology,2022,1,15
34822609,"2-Amino-3-Methylimidazo[4,5-f]quinoline Triggering Liver Damage by Inhibiting Autophagy and Inducing Endoplasmic Reticulum Stress in Zebrafish (<i>Danio rerio</i>).","Li D,Li Z,Zhang T,Peng B,Zhang Y,Sun H,Wang S",Toxins,2021,11,22
34822075,Association of chronic kidney disease with exposure to polycyclic aromatic hydrocarbons in the US population.,"Rahman HH,Niemann D,Munson-McGee SH",Environmental science and pollution research international,2022,4,
34819590,"Related health risk assessment of exposure to arsenic and some heavy metals in gold mines in Banmauk Township, Myanmar.","Wongsasuluk P,Tun AZ,Chotpantarat S,Siriwong W",Scientific reports,2021,11,24
34819562,Indoor air quality improvement and purification by atmospheric pressure Non-Thermal Plasma (NTP).,"Asilevi PJ,Boakye P,Oduro-Kwarteng S,Fei-Baffoe B,Sokama-Neuyam YA",Scientific reports,2021,11,24
34819530,Assessment of the pollution levels of potential toxic elements in urban vegetable gardens in southwest China.,"Gao J,Zhang D,Proshad R,Uwiringiyimana E,Wang Z",Scientific reports,2021,11,24
34817820,Does air pollution contribute to urban-rural disparity in male lung cancer diseases in China?,"Guo H,Li W,Wu J,Ho HC",Environmental science and pollution research international,2022,4,
34817819,Food safety of the green tiger shrimp Penaeus semisulcatus from the Persian Gulf.,"Sharifian S,Taherizadeh MR,Dehghani M,Nabavi M",Environmental science and pollution research international,2022,4,
34816611,Fine Particulate Matter Induces Childhood Asthma Attacks via Extracellular Vesicle-Packaged Let-7i-5p-Mediated Modulation of the MAPK Signaling Pathway.,"Zheng R,Du M,Tian M,Zhu Z,Wei C,Chu H,Gan C,Liang J,Xue R,Gao F,Mao Z,Wang M,Zhang Z","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2022,1,
34816345,"Polycyclic aromatic hydrocarbons (PAHs) in the upstream rivers of Taihu Lake Basin, China: spatial distribution, sources and environmental risk.","Wang L,Ren X,Wang X,Ye P,Wang F,Cheng J,Chen Y,Yu A,Zhang L,Qiu Y",Environmental science and pollution research international,2022,4,
34815629,Lung cancer risk in never-smokers: An overview of environmental and genetic factors.,"Cheng ES,Weber M,Steinberg J,Yu XQ",Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,2021,10,31
34815622,Tea and coffee polyphenols and their biological properties based on the latest <i>in vitro</i> investigations.,"LIczbiński P,Bukowska B",Industrial crops and products,2022,1,
34815027,Tumor and serum levels of per- and polyfluoroalkyl (PFAS) in hepatobiliary and gastrointestinal malignancy.,"Kelly-Schuette KA,Fomum-Mugri L,Walker J,Hoppe A,Mbanugo CC,Nikroo N,Oboh O,Wright GP,Chung M,Assifi MM",American journal of surgery,2022,3,
34814624,[The risk prediction models for occurrence of cervical cancer: a systematic review].,"He BJ,Chen WY,Liu LL,Zhu HY,Cheng HZ,Zhang YX,Wang SF,Zhan SY",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,2021,10,10
34813887,"Source identification of pollution and health risks to metals in household indoor and outdoor dust: A cross-sectional study in a typical mining town, China.","Cao S,Wen D,Chen X,Duan X,Zhang L,Wang B,Qin N,Wei F","Environmental pollution (Barking, Essex : 1987)",2022,1,15
34812171,Indoor Air Pollution (IAP) Traceable to Household Fuel Consumption and its Impact on Health.,"Shakya S,Choosong T,Techato K,Gyawali K,Panthee B,Shrestha N,Dangal MR",Kathmandu University medical journal (KUMJ),,,
34808207,A redox cycle with complex II prioritizes sulfide quinone oxidoreductase-dependent H<sub>2</sub>S oxidation.,"Kumar R,Landry AP,Guha A,Vitvitsky V,Lee HJ,Seike K,Reddy P,Lyssiotis CA,Banerjee R",The Journal of biological chemistry,2022,1,
34808171,From trihalomethanes chronic daily intake through multiple exposure routes to cancer and non-cancer health risk assessment: Evidence from public Portuguese indoor swimming pools facilities using a probabilistic approach.,"Costa C,Assunção R,Sequeira D,Esteves F,Valdiglesias V,Laffon B,Teixeira JP,Madureira J",The Science of the total environment,2022,4,20
34808152,Modeling multimedia fate and health risk assessment of polycyclic aromatic hydrocarbons (PAHs) in the coastal regions of the Bohai and Yellow Seas.,"Li Y,Zhu Y,Liu W,Yu S,Tao S,Liu W",The Science of the total environment,2022,4,20
34806152,"Seasonality, atmospheric transport and inhalation risk assessment of polycyclic aromatic hydrocarbons in PM<sub>2.5</sub> and PM<sub>10</sub> from industrial belts of Odisha, India.","Ekka S,Sahu SK,Dwivedi S,Khuman SN,Das S,Gaonkar O,Chakraborty P",Environmental geochemistry and health,2022,11,
34801682,The effect of endocrine disrupting chemicals on the vitronectin-receptor (integrin α<sub>v</sub>β<sub>3</sub>)-mediated cell adhesion of human umbilical vein endothelial cells.,"Kenda M,Pečar Fonović U,Kos J,Sollner Dolenc M",Toxicology in vitro : an international journal published in association with BIBRA,2022,3,
34801544,Spatial distribution and source apportionment of polycyclic aromatic hydrocarbons in typical oasis soil of north-western China and the bacterial community response.,"Huang Z,Liu Y,Dai H,Gui D,Hu BX,Zhang J",Environmental research,2022,3,
34800857,Circadian clock and cell cycle: Cancer and chronotherapy.,"Yao J,He C,Zhao W,Hu N,Long D",Acta histochemica,2021,12,
34798934,"Transcription profiles in BEAS-2B cells exposed to organic extracts from particulate emissions produced by a port-fuel injection vehicle, fueled with conventional fossil gasoline and gasoline-ethanol blend.","Líbalová H,Závodná T,Vrbová K,Sikorová J,Vojtíšek-Lom M,Beránek V,Pechout M,Kléma J,Ciganek M,Machala M,Neča J,Rössner P,Topinka J",Mutation research. Genetic toxicology and environmental mutagenesis,2021,12,
34798713,Long-term exposure to ambient air pollution and incidence of depression: A population-based cohort study in China.,"Wei F,Yu Z,Zhang X,Wu M,Wang J,Shui L,Lin H,Jin M,Tang M,Chen K",The Science of the total environment,2022,1,15
34798515,The role of heavy metals in thyroid cancer: A meta-analysis.,"van Gerwen M,Alerte E,Alsen M,Little C,Sinclair C,Genden E",Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS),2022,1,
34797630,Dynamic Protein Corona of Gold Nanoparticles with an Evolving Morphology.,"Nandakumar A,Wei W,Siddiqui G,Tang H,Li Y,Kakinen A,Wan X,Koppel K,Lin S,Davis TP,Leong DT,Creek DJ,Ding F,Song Y,Ke PC",ACS applied materials & interfaces,2021,12,8
34797534,Carcinogenic Risk Assessment among Children and Adult due to Exposure to Toxic Air Pollutants.,"Yousefi H,Lak E,Mohammadi MJ,Shahriyari HA",Environmental science and pollution research international,2022,4,
34795349,Health impacts of air pollution exposure from 1990 to 2019 in 43 European countries.,"Juginović A,Vuković M,Aranza I,Biloš V",Scientific reports,2021,11,18
34793907,Size-fractionated PM-bound PAHs in urban and rural atmospheres of northern Thailand for respiratory health risk assessment.,"Insian W,Yabueng N,Wiriya W,Chantara S","Environmental pollution (Barking, Essex : 1987)",2022,1,15
34793803,Diurnal variability in urinary volatile organic compound metabolites and its association with oxidative stress biomarkers.,"Pal VK,Li AJ,Zhu H,Kannan K",The Science of the total environment,2022,4,20
34792906,[Endocrine Disruptors: what are we talking about and what new mecanisms of toxicity do they bring into play?].,"Barouki R,Audouze K,Coumoul X",La Revue du praticien,2021,9,
34788499,Hydrogen Sulfide: An Emerging Precision Strategy for Gas Therapy.,"Ding H,Chang J,He F,Gai S,Yang P",Advanced healthcare materials,2022,2,
34788146,Extracellular cysteines C226 and C232 mediate hydrogen sulfide-dependent inhibition of Orai3-mediated store-operated calcium entry.,"Fresquez AM,White C",American journal of physiology. Cell physiology,2022,1,1
34785286,Prediction of the oxidation potential of PM<sub>2.5</sub> exposures from pollutant composition and sources.,"Shang J,Zhang Y,Schauer JJ,Chen S,Yang S,Han T,Zhang D,Zhang J,An J","Environmental pollution (Barking, Essex : 1987)",2022,1,15
34785228,Recent advances in biological applications of nanomaterials through defect engineering.,"Wu G,Sun J,Zhang Z,Guo D,Liu J,Liu L",The Science of the total environment,2022,4,10
34783390,Characteristics and health risks of personal exposure to particle-bound PAHs for Hong Kong adult residents: From ambient pollution to indoor exposure.,"Chen XC,Ward TJ,Ho KF,Sarkar C,Webster C",Indoor air,2022,1,
34783226,NEDD8-conjugating enzyme E2 UBE2F confers radiation resistance by protecting lung cancer cells from apoptosis.,"Zhou L,Dong C,Xu Z,Wang X,Zhang L,Chen S,Chen J,Zhu Y",Journal of Zhejiang University. Science. B,2021,11,15
34783073,"Design, synthesis, and biological evaluation of novel morpholinated isatin-quinoline hybrids as potent anti-breast cancer agents.","Singh A,Kaur H,Arora S,Bedi PMS",Archiv der Pharmazie,2022,2,
34782976,"Profiling of seasonal variation in and cancer risk assessment of benzo(a)pyrene and heavy metals in drinking water from Kirkuk city, Iraq.","Mohammed AB,Goran SMA,Tarafdar A",Environmental science and pollution research international,2022,3,
34780135,The Implementation Activist: How One Determined Person with a Camera Has Achieved Enforcement of Smoke-Free Laws throughout Thailand.,"Charoenca N,Kungskulniti N,Pipattanachat V,Pitayarangsarit S,Hamann S,Mock J",Asian Pacific journal of cancer prevention : APJCP,2021,11,1
34774661,"Per- and poly-fluoroalkyl substances (PFAS) and female reproductive outcomes: PFAS elimination, endocrine-mediated effects, and disease.","Rickard BP,Rizvi I,Fenton SE",Toxicology,2022,1,15
34774026,PM<sub>2.5</sub> exposure as a risk factor for type 2 diabetes mellitus in the Mexico City metropolitan area.,"Chilian-Herrera OL,Tamayo-Ortiz M,Texcalac-Sangrador JL,Rothenberg SJ,López-Ridaura R,Romero-Martínez M,Wright RO,Just AC,Kloog I,Bautista-Arredondo LF,Téllez-Rojo MM",BMC public health,2021,11,13
34773532,Long-term nonlinear relationship between PM<sub>2.5</sub> and ten leading causes of death.,"Lin YC,Shih HS,Lai CY",Environmental geochemistry and health,2022,11,
34770109,"Organochlorine Pesticides in Karst Soil: Levels, Distribution, and Source Diagnosis.","Chen W,Zeng F,Liu W,Bu J,Hu G,Xie S,Yao H,Zhou H,Qi S,Huang H",International journal of environmental research and public health,2021,11,4
34770021,Optimization of Micro-Pollutants' Removal from Wastewater Using Agricultural Waste-Derived Sustainable Adsorbent.,"Alhothali A,Haneef T,Mustafa MRU,Moria KM,Rashid U,Rasool K,Bamasag OO",International journal of environmental research and public health,2021,11,1
34769924,The Potential Impact of Smog Spell on Humans' Health Amid COVID-19 Rages.,"Javed A,Aamir F,Gohar UF,Mukhtar H,Zia-Ui-Haq M,Alotaibi MO,Bin-Jumah MN,Marc Vlaic RA,Pop OL",International journal of environmental research and public health,2021,10,29
34769729,Psychological Changes and Cancer Occurrence in Seoul Citizens Due to Changes in Fine Dust Concentration before Seoul Fine Dust Policy.,"Choi K,Yang W",International journal of environmental research and public health,2021,10,25
34769715,Occupational Exposure to Formaldehyde and Cancer Risk Assessment in an Anatomy Laboratory.,"Adamović D,Čepić Z,Adamović S,Stošić M,Obrovski B,Morača S,Vojinović Miloradov M",International journal of environmental research and public health,2021,10,25
34769708,Environmental Stressors Suffered by Women with Gynecological Cancers in the Aftermath of Hurricanes Irma and María in Puerto Rico.,"Méndez-Lázaro PA,Bernhardt YM,Calo WA,Pacheco Díaz AM,García-Camacho SI,Rivera-Lugo M,Acosta-Pérez E,Pérez N,Ortiz-Martínez AP",International journal of environmental research and public health,2021,10,25
34769626,Key Factors for Improving the Carcinogenic Risk Assessment of PAH Inhalation Exposure by Monte Carlo Simulation.,"Qin N,Tuerxunbieke A,Wang Q,Chen X,Hou R,Xu X,Liu Y,Xu D,Tao S,Duan X",International journal of environmental research and public health,2021,10,22
34766255,The cytotoxicity of zinc oxide nanoparticles to 3D brain organoids results from excessive intracellular zinc ions and defective autophagy.,"Liu L,Wang J,Zhang J,Huang C,Yang Z,Cao Y",Cell biology and toxicology,2023,2,
34765851,"Estimating Intra-Urban Inequities in PM<sub>2.5</sub>-Attributable Health Impacts: A Case Study for Washington, DC.","Castillo MD,Kinney PL,Southerland V,Arno CA,Crawford K,van Donkelaar A,Hammer M,Martin RV,Anenberg SC",GeoHealth,2021,11,
34764747,Development & application of Conceptual Framework Model (CFM) for environmental risk assessment of contaminated lands.,"Alam A,Chaudhry MN,Mahmood A,Ahmad SR,Butt TE",Saudi journal of biological sciences,2021,11,
34761318,Estimation of long-term and short-term health effects attributed to PM<sub>2.5</sub> standard pollutants in the air of Ardabil (using Air Q + model).,"Moradi M,Mokhtari A,Mohammadi MJ,Hadei M,Vosoughi M",Environmental science and pollution research international,2022,3,
34756984,Environmental and occupational pesticide exposure and human sperm parameters: A Navigation Guide review.,"Knapke ET,Magalhaes DP,Dalvie MA,Mandrioli D,Perry MJ",Toxicology,2022,1,15
34756188,Roadmap to deal with toxic chemicals in the USA.,Das M,The Lancet. Oncology,2021,12,
34755749,Poor regulation implications in a low and middle income country based on PAH source apportionment and cancer risk assessment.,"Jaafar W,Zaherddine V,Hussein F,Saliba NA,Hayeck N",Environmental science. Processes & impacts,2021,12,15
34750843,"A review on the medicinal potential, toxicology, and phytochemistry of litchi fruit peel and seed.","Chukwuma CI,Izu GO,Chukwuma MS,Samson MS,Makhafola TJ,Erukainure OL",Journal of food biochemistry,2021,12,
34750511,"Infrared-spectroscopic, dynamic near-field microscopy of living cells and nanoparticles in water.","Kaltenecker KJ,Gölz T,Bau E,Keilmann F",Scientific reports,2021,11,8
34750422,Toxicity of stainless and mild steel particles generated from gas-metal arc welding in primary human small airway epithelial cells.,"Cediel-Ulloa A,Isaxon C,Eriksson A,Primetzhofer D,Sortica MA,Haag L,Derr R,Hendriks G,Löndahl J,Gudmundsson A,Broberg K,Gliga AR",Scientific reports,2021,11,8
34750336,Diesel exhaust exposure and risk of non-Hodgkin lymphoma: a meta-analysis.,"Vilardi V,Boffetta P",European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),2022,9,1
